NHS England Region,Code,Name,Up to 01-Mar-20,Awaiting verification,Total,date,num_deaths,sum_deaths_rolling_week
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-01,0.0,
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-02,0.0,
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-03,0.0,
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-04,0.0,
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-05,0.0,
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-06,0.0,
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-07,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-08,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-09,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-10,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-11,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-12,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-13,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-14,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-15,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-16,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-17,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-18,1.0,1.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-19,0.0,1.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-20,0.0,1.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-21,0.0,1.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-22,0.0,1.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-23,0.0,1.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-24,0.0,1.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-25,0.0,0.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-26,1.0,1.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-27,1.0,2.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-28,2.0,4.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-29,1.0,5.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-30,4.0,9.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-03-31,1.0,10.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-01,0.0,10.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-02,2.0,11.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-03,0.0,10.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-04,6.0,14.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-05,0.0,13.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-06,4.0,13.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-07,2.0,14.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-08,4.0,18.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-09,2.0,18.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-10,2.0,20.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-11,7.0,21.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-12,4.0,25.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-13,1.0,22.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-14,1.0,21.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-15,3.0,20.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-16,4.0,22.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-17,3.0,23.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-18,4.0,20.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-19,3.0,19.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-20,1.0,19.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-21,2.0,20.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-22,3.0,20.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-23,4.0,20.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-24,2.0,19.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-25,1.0,16.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-26,3.0,16.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-27,1.0,16.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-28,0.0,14.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-29,1.0,12.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-04-30,2.0,10.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-01,0.0,8.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-02,1.0,8.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-03,0.0,5.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-04,1.0,5.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-05,3.0,8.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-06,1.0,8.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-07,0.0,6.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-08,0.0,6.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-09,2.0,7.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-10,1.0,8.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-11,1.0,8.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-12,0.0,5.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-13,2.0,6.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-14,0.0,6.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-15,2.0,8.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-16,0.0,6.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-17,1.0,6.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-18,1.0,6.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-19,2.0,8.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-20,0.0,6.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-21,1.0,7.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-22,0.0,5.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-23,0.0,5.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-24,0.0,4.0
North East and Yorkshire,RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,108.0,2020-05-25,1.0,4.0
